time,loop_coherence,mean_memory,baseline_mean_magnitude,full_law_mean_magnitude,baseline_mean_gain,full_law_mean_gain,slip_energy
0.0000,0.992053,0.000000,0.060475,0.081473,1.000000,1.347219,0.000000
0.0500,0.991514,0.000351,0.118763,0.159988,1.000000,1.347030,0.004012
0.1000,0.990946,0.000685,0.174937,0.235573,1.000000,1.345650,0.004089
0.1500,0.990347,0.001003,0.229069,0.308329,1.000000,1.344319,0.004164
0.2000,0.989718,0.001307,0.281229,0.378357,1.000000,1.343034,0.004240
0.2500,0.989057,0.001596,0.331483,0.445751,1.000000,1.341788,0.004314
0.3000,0.988363,0.001872,0.379895,0.510604,1.000000,1.340581,0.004387
0.3500,0.987636,0.002136,0.426530,0.573003,1.000000,1.339407,0.004459
0.4000,0.986876,0.002388,0.471446,0.633034,1.000000,1.338264,0.004530
0.4500,0.986081,0.002629,0.514703,0.690779,1.000000,1.337150,0.004599
0.5000,0.985252,0.002860,0.556357,0.746319,1.000000,1.336061,0.004667
0.5500,0.984387,0.003081,0.596462,0.799730,1.000000,1.334995,0.004732
0.6000,0.983487,0.003293,0.635072,0.851085,1.000000,1.333951,0.004796
0.6500,0.982550,0.003496,0.672237,0.900456,1.000000,1.332926,0.004858
0.7000,0.981577,0.003690,0.708006,0.947913,1.000000,1.331919,0.004917
0.7500,0.980567,0.003876,0.742427,0.993521,1.000000,1.330929,0.004974
0.8000,0.979521,0.004054,0.775547,1.037345,1.000000,1.329953,0.005029
0.8500,0.978437,0.004225,0.807409,1.079447,1.000000,1.328990,0.005080
0.9000,0.977316,0.004389,0.838058,1.119887,1.000000,1.328041,0.005130
0.9500,0.976157,0.004546,0.867533,1.158722,1.000000,1.327102,0.005176
1.0000,0.974962,0.004695,0.895877,1.196009,1.000000,1.326175,0.005219
1.0500,0.973729,0.004839,0.923127,1.231802,1.000000,1.325258,0.005260
1.1000,0.972460,0.004976,0.949321,1.266153,1.000000,1.324349,0.005297
1.1500,0.971153,0.005106,0.974495,1.299111,1.000000,1.323450,0.005331
1.2000,0.969810,0.005231,0.998686,1.330727,1.000000,1.322559,0.005362
1.2500,0.968431,0.005349,1.021926,1.361046,1.000000,1.321677,0.005389
1.3000,0.967017,0.005462,1.044249,1.390115,1.000000,1.320802,0.005413
1.3500,0.965567,0.005568,1.065686,1.417977,1.000000,1.319934,0.005434
1.4000,0.964083,0.005670,1.086268,1.444675,1.000000,1.319074,0.005451
1.4500,0.962565,0.005765,1.106025,1.470250,1.000000,1.318222,0.005464
1.5000,0.961013,0.005855,1.124986,1.494742,1.000000,1.317376,0.005474
1.5500,0.959430,0.005939,1.143178,1.518189,1.000000,1.316538,0.005480
1.6000,0.957814,0.006018,1.160628,1.540629,1.000000,1.315707,0.005483
1.6500,0.956169,0.006091,1.177363,1.562096,1.000000,1.314884,0.005482
1.7000,0.954493,0.006160,1.193407,1.582627,1.000000,1.314068,0.005477
1.7500,0.952789,0.006222,1.208785,1.602254,1.000000,1.313260,0.005469
1.8000,0.951058,0.006280,1.223520,1.621011,1.000000,1.312460,0.005457
1.8500,0.949300,0.006332,1.237635,1.638928,1.000000,1.311669,0.005442
1.9000,0.947518,0.006379,1.251152,1.656037,1.000000,1.310886,0.005423
1.9500,0.945712,0.006421,1.264092,1.672366,1.000000,1.310111,0.005401
2.0000,0.943883,0.006458,1.276477,1.687944,1.000000,1.309346,0.005375
2.0500,0.942034,0.006490,1.288325,1.702800,1.000000,1.308590,0.005346
2.1000,0.940166,0.006517,1.299656,1.716958,1.000000,1.307844,0.005313
2.1500,0.938280,0.006539,1.310489,1.730446,1.000000,1.307108,0.005278
2.2000,0.936378,0.006556,1.320842,1.743289,1.000000,1.306383,0.005239
2.2500,0.934462,0.006568,1.330732,1.755510,1.000000,1.305668,0.005197
